field_name,data_type,required,description
exposure_id,string,yes,Canonical HG-SCRIS exposure identifier
source_id,string,yes,Original source identifier where available
exposure_type,string,yes,settlement population building road bridge school health emergency tourism critical_infrastructure
name,string,no,Feature/name where available
geometry,geometry,yes,Point polygon or line geometry in declared CRS
admin_unit,string,no,Administrative unit
population_value,float,no,Population associated with the exposure feature
population_year,integer,no,Reference year for population value
building_count,integer,no,Building count where available
asset_value,float,no,Asset/economic value when available
capacity_value,float,no,Facility capacity where applicable
network_role,string,no,Role in evacuation/access network
source_name,string,yes,Source dataset/provider
source_version,string,yes,Source version/date
observation_date,date,no,Observation/reference date
source_url,string,yes,Provenance reference
processing_version,string,yes,HG-SCRIS processing version
lineage_id,string,yes,Provenance lineage identifier
qa_status,string,yes,QA state
uncertainty_note,string,no,Known limitation or uncertainty
